PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,42.510695934295654,3674.1040000000007,1619,2.269366275478691
2,45.549009561538696,3974.4180000000033,1732,2.2946986143187087
3,41.555349349975586,3632.151,1582,2.2959235145385586
4,52.52782893180847,4584.549,1995,2.2980195488721806
5,50.24745965003967,4393.613,1910,2.3003209424083773
6,45.22732472419739,3947.249000000005,1722,2.2922468060394916
7,24.734227657318115,2152.806000000002,948,2.270892405063293
8,35.612430572509766,3099.0380000000005,1359,2.2803811626195736
9,56.422505617141724,4935.772999999999,2141,2.3053587108827647
10,41.16352105140686,3589.0120000000047,1569,2.2874518801784607
11,30.72207021713257,2669.075000000002,1175,2.2715531914893634
12,51.12627840042114,4475.326999999998,1943,2.3033077714873897
13,35.27871894836426,3073.8510000000006,1347,2.2819977728285084
14,42.80375528335571,3734.2650000000035,1629,2.2923664825046064
15,50.99358797073364,4457.247000000002,1938,2.29992105263158
16,62.784446239471436,5483.593000000001,2381,2.3030629987400255
17,35.772077798843384,3112.1270000000027,1365,2.279946520146522
18,43.14908194541931,3763.221000000004,1643,2.290457090687769
19,44.53789496421814,3900.3089999999984,1694,2.3024256198347097
20,38.86624789237976,3383.8529999999987,1479,2.287933062880324
21,52.95135855674744,4624.538000000001,2011,2.299621084037793
22,58.24042987823486,5089.949999999997,2207,2.3062754870865416
23,40.24581336975098,3507.5969999999998,1533,2.288060665362035
24,49.35033416748047,4314.016,1876,2.2995820895522385
25,63.458590507507324,5541.213999999995,2405,2.3040390852390833
26,31.79688787460327,2776.648000000002,1215,2.2853069958847754
27,39.58773374557495,3457.8780000000033,1509,2.291502982107358
28,43.59375238418579,3805.446000000003,1661,2.2910571944611697
29,43.9104745388031,3834.724000000003,1672,2.2934952153110064
30,43.43788146972656,3787.7709999999997,1654,2.2900671100362757
31,41.999699115753174,3667.940000000003,1601,2.2910306058713323
32,33.691898584365845,2929.923000000003,1288,2.2747849378882012
33,43.549134492874146,3802.4730000000004,1659,2.2920271247739605
34,53.15872144699097,4649.459,2019,2.3028524021792967
35,52.930229902267456,4617.080000000003,2010,2.2970547263681604
36,57.12042856216431,4989.848999999996,2168,2.30159086715867
37,47.60272669792175,4156.3240000000005,1810,2.2963116022099452
38,37.593247175216675,3282.108000000001,1434,2.288778242677825
39,66.96519804000854,5852.5819999999985,2537,2.3068908159243193
40,41.15345287322998,3575.8540000000016,1566,2.283431673052364
41,36.0556378364563,3145.9069999999956,1377,2.2846092955700765
42,41.683247327804565,3646.9369999999994,1587,2.2980069313169498
43,39.2443950176239,3420.234000000003,1496,2.2862526737967936
44,46.462740421295166,4056.908000000004,1768,2.294631221719459
45,40.83302426338196,3564.192000000001,1556,2.2906118251928027
46,44.29005408287048,3863.937000000003,1686,2.291777580071176
47,40.08255100250244,3495.757,1527,2.2892973149967255
48,45.842618465423584,3997.6130000000035,1745,2.2908957020057326
49,38.80690836906433,3389.0540000000015,1481,2.2883551654287655
50,57.23726725578308,5002.1209999999965,2170,2.305124884792625
