PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,141.9345076084137,6186.5489999999845,1334,4.637592953523227
2,215.09779810905457,9424.736000000004,2008,4.69359362549801
3,147.22083449363708,6427.223000000003,1383,4.6473051337671745
4,201.81624507904053,8799.960000000025,1886,4.6659384941675635
5,190.57669043540955,8309.49600000002,1783,4.660401570386999
6,161.720956325531,7082.21399999999,1517,4.668565589980218
7,133.15086340904236,5806.782000000002,1253,4.634303272146849
8,126.08027958869934,5518.372000000003,1188,4.645094276094278
9,206.37732553482056,9040.817000000012,1928,4.689220435684653
10,170.5033664703369,7468.5070000000005,1598,4.6736589486858575
11,143.62685894966125,6293.8619999999855,1350,4.662119999999989
12,162.22541522979736,7099.296999999988,1522,4.6644526938239075
13,166.82776951789856,7273.502000000026,1564,4.650576726342727
14,151.73375296592712,6647.431999999998,1425,4.664864561403507
15,199.07607173919678,8674.527999999998,1861,4.661218699623857
16,183.66348600387573,8037.2759999999735,1719,4.675553228621276
17,162.88771557807922,7126.928999999988,1528,4.6642205497382125
18,210.9338858127594,9165.749000000022,1970,4.652664467005087
19,180.70090413093567,7893.452999999989,1692,4.665161347517723
20,151.20379161834717,6604.718000000011,1420,4.651209859154937
21,171.46863627433777,7467.567000000009,1607,4.646899191039209
22,258.21430802345276,11306.97300000002,2404,4.703399750415982
23,162.33617043495178,7115.015000000006,1523,4.671710439921212
24,195.37463355064392,8526.714000000018,1827,4.6670574712643775
25,284.19116401672363,12429.867000000031,2642,4.7047187736563325
26,137.3385705947876,6016.040999999987,1292,4.656378482972126
27,167.88864517211914,7354.770999999986,1574,4.672662642947895
28,217.67878818511963,9480.241000000033,2032,4.665472933070882
29,199.93583703041077,8760.652000000011,1869,4.68734724451579
30,183.4080991744995,8034.265000000004,1717,4.679245777518931
31,181.4450764656067,7913.850000000026,1699,4.657945850500309
32,137.52888774871826,6033.816999999994,1294,4.662918856259655
33,166.8026921749115,7319.452999999992,1564,4.679957161125315
34,189.39503955841064,8271.682000000003,1772,4.667992099322801
35,171.7666311264038,7522.497000000016,1609,4.675262274704795
36,193.331889629364,8428.409000000034,1808,4.661730641592939
37,197.83774304389954,8619.672000000019,1849,4.661802055164964
38,140.94404315948486,6180.947000000006,1325,4.664865660377362
39,264.13068103790283,11574.213000000009,2458,4.708792921074047
40,162.79175400733948,7104.595000000001,1527,4.6526489849377874
41,149.15045642852783,6532.211999999996,1401,4.6625353319057785
42,131.43984508514404,5732.5919999999915,1236,4.638019417475721
43,156.58051991462708,6738.723000000002,1463,4.606099111414902
44,172.07372570037842,7470.835,1608,4.646041666666667
45,180.66809606552124,7884.712000000016,1688,4.6710379146919525
46,170.8178734779358,7425.993000000007,1594,4.658715809284822
47,155.90548944473267,6801.090999999981,1458,4.664671467764047
48,161.0451045036316,6993.7259999999915,1504,4.650083776595739
49,156.02449131011963,6747.393000000008,1457,4.63101784488676
50,216.28011560440063,9343.529000000017,2009,4.6508357391737265
