PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,21.299004554748535,1532.4210000000005,2253,0.680169107856192
2,28.975181818008423,2134.349,2934,0.7274536468984323
3,6.429104566574097,472.0099999999999,752,0.6276728723404253
4,37.53768062591553,2753.4180000000024,3643,0.7558105956629159
5,0.6766238212585449,54.621,77,0.7093636363636364
6,33.09332752227783,2417.2099999999996,3280,0.7369542682926828
7,22.311631441116333,1644.2240000000008,2343,0.7017601365770384
8,35.62962222099304,2609.234999999998,3490,0.7476318051575925
9,0.8664324283599854,66.034,101,0.6538019801980198
10,28.216116189956665,2074.198000000001,2867,0.7234733170561566
11,34.542577266693115,2534.3239999999987,3398,0.7458281341965859
12,41.52590274810791,3038.761000000003,3960,0.7673638888888897
13,27.850083589553833,2040.2240000000018,2839,0.718641775272984
14,17.954991579055786,1325.315,1933,0.6856259699948267
15,20.765020608901978,1520.8890000000004,2200,0.691313181818182
16,22.144332885742188,1623.3650000000014,2329,0.6970223271790474
17,3.455251932144165,254.79399999999995,414,0.6154444444444443
18,43.51010084152222,3193.3269999999975,4109,0.7771542954490137
19,37.764516830444336,2772.512000000001,3661,0.7573100245834474
20,4.046571254730225,290.906,484,0.6010454545454545
21,26.684035062789917,1953.4150000000009,2736,0.7139674707602343
22,33.02094531059265,2416.3280000000013,3281,0.7364608351112469
23,29.906988859176636,2191.9190000000017,3016,0.7267635941644568
24,45.24578785896301,3312.5209999999934,4242,0.7808866100895788
25,32.67293071746826,2391.744000000001,3250,0.7359212307692311
26,34.57662391662598,2543.8529999999982,3406,0.7468740458015262
27,42.4700722694397,3111.716999999999,4029,0.7723298585256886
28,20.489296197891235,1502.7770000000003,2174,0.6912497700091997
29,51.10767698287964,3741.879999999999,4678,0.7998888413852072
30,33.81445527076721,2480.700999999998,3343,0.7420583308405618
31,38.215006828308105,2802.4690000000014,3696,0.7582437770562774
32,25.08848786354065,1840.0640000000003,2595,0.7090805394990367
33,49.13308882713318,3594.1919999999955,4531,0.7932447583314931
34,29.819382667541504,2197.3199999999997,3006,0.7309780439121756
35,27.799840688705444,2037.430000000002,2836,0.7184167842031037
36,23.0997314453125,1688.1360000000013,2417,0.6984426975589579
37,1.417182207107544,107.305,169,0.6349408284023669
38,50.710853099823,3709.7670000000007,4650,0.7977993548387098
39,20.75497317314148,1522.545,2200,0.6920659090909091
40,33.303611040115356,2442.7729999999983,3301,0.7400099969706144
41,35.53604316711426,2611.954999999998,3484,0.7497000574052808
42,20.945157051086426,1539.1380000000001,2217,0.6942435723951286
43,31.739808082580566,2333.294999999999,3168,0.7365198863636361
44,40.99738073348999,2998.3909999999987,3919,0.7650908394998721
45,34.80597162246704,2552.8710000000033,3424,0.7455814836448608
46,19.57405424118042,1432.127,2089,0.6855562470081379
47,0.9300680160522461,68.24700000000001,109,0.626119266055046
48,21.018486738204956,1544.607,2224,0.694517535971223
49,30.299455881118774,2221.6070000000004,3049,0.7286346343063301
50,40.22422480583191,2949.8940000000002,3856,0.7650140041493777
