PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,3.4516615867614746,1083.5079999999998,519,2.0876840077071286
2,3.3597450256347656,1222.489,498,2.45479718875502
3,2.9539730548858643,1087.8090000000002,438,2.4835821917808225
4,5.96870231628418,2278.0440000000003,918,2.4815294117647064
5,3.3568150997161865,1183.2410000000004,477,2.4805890985324957
6,1.4152956008911133,481.04499999999996,188,2.55875
7,1.5900354385375977,613.578,232,2.6447327586206897
8,1.5557806491851807,538.3050000000001,229,2.350676855895197
9,5.90094518661499,2268.4259999999995,919,2.46836343852013
10,2.6737418174743652,937.916,364,2.576692307692308
11,2.8209328651428223,1052.844,426,2.4714647887323946
12,3.020411729812622,1150.542,453,2.539827814569536
13,3.412914276123047,1282.4300000000003,513,2.4998635477582853
14,2.8274428844451904,1020.427,415,2.4588602409638556
15,4.580704212188721,1776.3849999999995,702,2.5304629629629622
16,6.137673854827881,2295.936,928,2.4740689655172416
17,3.2981576919555664,1219.127,469,2.599417910447761
18,5.380826234817505,2070.7670000000003,822,2.519181265206813
19,3.776336908340454,1345.1889999999999,549,2.450253187613843
20,4.575538873672485,1771.2810000000002,690,2.5670739130434783
21,2.8218750953674316,998.9229999999999,403,2.478717121588089
22,6.500612497329712,2511.047,1001,2.5085384615384614
23,3.3117809295654297,1188.4589999999998,464,2.5613340517241374
24,4.627565860748291,1765.5669999999998,706,2.5008031161473085
25,2.8856329917907715,999.998,413,2.4213026634382566
26,1.9287467002868652,692.7800000000001,270,2.565851851851852
27,3.3243753910064697,1285.5999999999997,511,2.515851272015655
28,2.679713010787964,983.7420000000001,392,2.509545918367347
29,4.594019651412964,1791.0660000000005,709,2.5261861777150925
30,3.202517509460449,1095.7270000000003,423,2.590371158392436
31,2.7248916625976562,921.7169999999999,372,2.4777338709677417
32,5.612942218780518,2145.358,867,2.4744613610149946
33,3.3577957153320312,1214.56,481,2.525072765072765
34,2.4129528999328613,876.7920000000001,348,2.5195172413793108
35,1.5253491401672363,528.851,215,2.459772093023256
36,3.4953999519348145,1328.753,538,2.4698011152416357
37,2.8918871879577637,1093.494,423,2.58509219858156
38,2.8559365272521973,1031.8950000000002,427,2.4166159250585486
39,2.100398063659668,784.02,300,2.6134
40,2.2714970111846924,842.3489999999999,339,2.484805309734513
41,2.4445197582244873,887.0630000000002,362,2.4504502762430946
42,2.6607203483581543,1004.4580000000001,400,2.5111450000000004
43,4.698909759521484,1772.31,723,2.4513278008298753
44,2.611328125,922.79,367,2.5144141689373294
45,3.7822961807250977,1436.495,578,2.4852854671280276
46,2.7659177780151367,1043.4609999999998,400,2.6086524999999994
47,2.416494131088257,891.7050000000003,358,2.4907960893854755
48,4.014422416687012,1528.0870000000002,616,2.4806607142857144
49,1.7609410285949707,622.8500000000001,235,2.650425531914894
50,2.44109845161438,909.425,370,2.4579054054054055
