PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,16.436743021011353,2923.7749999999996,1463,1.9984791524265206
2,18.54325246810913,3394.2620000000006,1652,2.0546380145278453
3,11.771756410598755,2149.78,1049,2.0493612964728314
4,22.863906145095825,4190.287000000002,2033,2.0611347761928194
5,16.066818952560425,2940.8760000000007,1430,2.056556643356644
6,7.006552219390869,1272.8340000000003,620,2.0529580645161296
7,4.689146280288696,864.0340000000003,410,2.1074000000000006
8,10.048750877380371,1836.083,894,2.053784116331096
9,12.51442837715149,2295.505,1115,2.058748878923767
10,16.69913649559021,3059.3380000000006,1488,2.056006720430108
11,7.958755970001221,1456.5029999999997,707,2.0601173974540306
12,12.833399772644043,2342.9100000000003,1145,2.0462096069869
13,15.115838050842285,2779.9090000000006,1347,2.063778025241277
14,22.793555974960327,4165.701,2027,2.055106561420819
15,19.238211393356323,3528.975999999999,1715,2.057711953352769
16,15.806750535964966,2899.041000000001,1411,2.0546002834868893
17,20.599178075790405,3754.2810000000018,1832,2.049280021834062
18,8.612085819244385,1586.8580000000004,766,2.0716161879895565
19,18.689672470092773,3417.6689999999985,1664,2.053887620192307
20,22.071951389312744,4052.8729999999996,1964,2.0635809572301422
21,8.818313837051392,1605.1270000000002,785,2.044747770700637
22,18.866050481796265,3454.0950000000016,1681,2.0547858417608578
23,24.434792280197144,4483.466000000001,2169,2.0670659289995394
24,14.83984637260437,2731.6780000000003,1322,2.0663222390317704
25,17.687257289886475,3226.612000000001,1576,2.0473426395939094
26,8.716679334640503,1580.7320000000002,775,2.039654193548387
27,18.9353346824646,3480.0579999999995,1687,2.0628678126852398
28,16.825687408447266,3082.4970000000026,1499,2.0563689126084075
29,13.62861442565918,2487.456000000001,1215,2.0472888888888896
30,34.04409718513489,6252.566,3001,2.0834941686104633
31,15.205608129501343,2774.983000000001,1355,2.0479579335793368
32,16.133379459381104,2947.710999999999,1439,2.04844405837387
33,22.472561359405518,4120.8,1999,2.061430715357679
34,12.741482257843018,2317.629,1138,2.036580843585237
35,14.052541494369507,2560.0980000000004,1253,2.043174780526736
36,17.273915767669678,3159.901000000001,1537,2.0558887443070923
37,14.826366662979126,2711.313,1322,2.0509175491679277
38,11.853385210037231,2185.6399999999994,1056,2.069734848484848
39,18.746320962905884,3414.4399999999987,1668,2.0470263788968817
40,13.620357036590576,2496.2699999999995,1216,2.0528536184210524
41,14.097117185592651,2596.153999999999,1260,2.060439682539682
42,17.6545832157135,3227.6600000000008,1573,2.0519135410044504
43,15.775129795074463,2893.135000000001,1407,2.056243781094528
44,17.816701412200928,3253.406999999999,1589,2.0474556324732527
45,18.033639669418335,3310.961000000001,1607,2.0603366521468582
46,18.29093623161316,3355.020999999998,1631,2.0570331085223774
47,16.738348960876465,3060.3310000000006,1490,2.0539134228187925
48,25.853825569152832,4747.881000000001,2294,2.0696952920662604
49,12.81816840171814,2343.1230000000005,1143,2.0499763779527562
50,28.066522359848022,5151.640999999996,2485,2.073094969818912
