PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,9.64385199546814,2249.495000000001,1876,1.199091151385928
2,6.532073736190796,1597.0400000000002,1212,1.3176897689768978
3,5.765934705734253,1398.1900000000003,1064,1.314088345864662
4,8.275307893753052,2078.275,1600,1.298921875
5,6.36215877532959,1542.8360000000005,1210,1.2750710743801656
6,8.65219235420227,2147.828999999999,1671,1.2853554757630155
7,6.517261743545532,1588.5530000000003,1203,1.3204929343308398
8,7.909318923950195,1954.236,1495,1.3071812709030102
9,6.730177164077759,1610.9960000000003,1231,1.3086888708367184
10,6.197011947631836,1524.2439999999997,1181,1.2906384419983064
11,8.148398160934448,2022.6580000000001,1566,1.2916079182630908
12,6.2442991733551025,1531.4950000000006,1193,1.2837342833193635
13,5.9661054611206055,1470.828,1137,1.2936042216358838
14,6.661258935928345,1667.24,1277,1.3055912294440093
15,6.299131870269775,1570.6230000000003,1208,1.300184602649007
16,9.049587965011597,2282.0900000000006,1785,1.278481792717087
17,6.362981557846069,1564.7690000000005,1176,1.330585884353742
18,6.296107769012451,1506.2740000000001,1145,1.3155231441048036
19,7.921219825744629,1952.354,1490,1.3103046979865771
20,5.915490627288818,1441.2769999999996,1112,1.2961124100719421
21,9.20404314994812,2354.599,1819,1.2944469488730073
22,7.7776079177856445,1963.4460000000004,1521,1.2908915187376728
23,4.715937852859497,1093.7569999999998,844,1.295920616113744
24,6.296011686325073,1523.2420000000002,1140,1.3361771929824564
25,9.669199466705322,2434.8340000000007,1908,1.276118448637317
26,6.999694347381592,1716.3790000000004,1327,1.2934280331574983
27,5.447618007659912,1303.3819999999994,983,1.325922685656154
28,6.163736581802368,1535.6380000000001,1182,1.299186125211506
29,8.287883043289185,2093.0890000000004,1609,1.3008632691112494
30,7.462407112121582,1849.5689999999997,1433,1.2906971388695043
31,6.842837333679199,1657.9229999999998,1278,1.2972793427230045
32,6.288477182388306,1515.9279999999992,1140,1.3297614035087713
33,7.400031328201294,1821.3789999999997,1398,1.3028462088698138
34,5.8823792934417725,1410.369,1065,1.3242901408450702
35,6.6503729820251465,1669.7299999999996,1298,1.2863867488443756
36,7.767117738723755,1945.6599999999999,1489,1.306689053055742
37,6.3365561962127686,1566.965,1234,1.2698257698541329
38,12.956414222717285,3185.4909999999986,2402,1.3261827643630302
39,5.6830620765686035,1380.8009999999997,1067,1.2940965323336455
40,7.080607652664185,1753.3279999999995,1356,1.2930147492625366
41,6.773936748504639,1702.4869999999996,1273,1.3373817753338568
42,6.536158561706543,1645.2939999999996,1239,1.327920903954802
43,5.718713283538818,1427.0349999999999,1049,1.3603765490943756
44,7.3371593952178955,1799.2580000000003,1408,1.2778821022727274
45,8.281543254852295,2107.823,1623,1.2987202711028958
46,9.874617576599121,2460.85,1896,1.2979166666666666
47,6.704841375350952,1658.6250000000005,1298,1.2778312788906012
48,7.103885173797607,1741.3469999999993,1337,1.3024285714285708
49,5.8685150146484375,1467.7059999999997,1108,1.3246444043321297
50,6.223505735397339,1544.5720000000001,1179,1.3100695504664972
