PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,10.151036977767944,2644.724000000001,1692,1.563075650118204
2,10.647212743759155,2927.0190000000002,1787,1.637951315053162
3,6.7947096824646,1825.8530000000005,1082,1.68747966728281
4,7.859901189804077,2173.5600000000004,1309,1.660473644003056
5,8.094867944717407,2232.642,1337,1.6698893044128644
6,4.847193717956543,1265.401,756,1.6738108465608466
7,3.0527923107147217,783.9629999999999,452,1.7344314159292031
8,6.803285598754883,1882.3579999999997,1151,1.6354109470026061
9,6.369196891784668,1750.441,1058,1.6544810964083176
10,6.781391143798828,1835.1560000000002,1110,1.653293693693694
11,5.316220045089722,1454.1930000000002,867,1.6772698961937718
12,6.512428283691406,1770.374,1055,1.6780796208530806
13,6.312109708786011,1747.5320000000002,1034,1.6900696324951645
14,7.540097951889038,2052.739,1253,1.6382593774940144
15,9.319894075393677,2585.6730000000002,1572,1.644830152671756
16,7.609492540359497,2099.337,1262,1.6635
17,6.222694158554077,1684.0160000000005,1001,1.6823336663336668
18,5.6037561893463135,1523.7269999999999,906,1.6818178807947017
19,9.719977855682373,2705.3760000000016,1648,1.641611650485438
20,11.364701747894287,3147.4769999999994,1913,1.6453094615786719
21,5.454200744628906,1440.4690000000005,848,1.6986662735849063
22,8.469027519226074,2342.003,1428,1.6400581232493
23,7.795735120773315,2135.915,1264,1.6898061708860759
24,8.283886194229126,2282.572,1368,1.668546783625731
25,11.335089445114136,3173.0260000000007,1896,1.673536919831224
26,5.3398261070251465,1410.2089999999998,838,1.6828269689737467
27,8.049092531204224,2226.088,1323,1.6826061980347695
28,7.308775186538696,1991.3459999999995,1185,1.6804607594936705
29,7.430027484893799,2015.748,1176,1.7140714285714287
30,10.994258880615234,3093.2130000000006,1880,1.6453260638297875
31,8.714082479476929,2421.3489999999997,1442,1.6791601941747571
32,10.757222175598145,3006.5249999999987,1818,1.6537541254125405
33,9.627093315124512,2656.0940000000005,1600,1.6600587500000004
34,7.552308797836304,2039.8160000000003,1186,1.7199123102866782
35,7.210515260696411,1985.3819999999998,1132,1.7538710247349822
36,10.468383550643921,2830.7510000000007,1560,1.8145839743589747
37,7.887852907180786,2177.1629999999996,1308,1.664497706422018
38,8.66925048828125,2376.0480000000007,1438,1.6523282336578586
39,8.421664953231812,2319.693,1405,1.6510270462633454
40,8.046600103378296,2217.919,1345,1.649010408921933
41,8.662926435470581,2374.039,1441,1.647494101318529
42,8.9692862033844,2467.3169999999996,1506,1.638324701195219
43,5.375601768493652,1471.3570000000002,856,1.7188750000000002
44,6.369137525558472,1727.8539999999998,1048,1.6487156488549617
45,6.070005893707275,1663.895,995,1.6722562814070352
46,9.34203052520752,2584.6160000000004,1583,1.6327327858496528
47,6.116610765457153,1637.0800000000004,974,1.680780287474333
48,10.55796217918396,2926.843000000001,1726,1.6957375434530715
49,7.2186760902404785,1880.9460000000001,1017,1.849504424778761
50,14.599664211273193,4108.3070000000025,2476,1.6592516155088863
