PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,4.443557977676392,860.2269999999999,1155,0.7447852813852812
2,2.9098737239837646,617.8489999999999,779,0.7931309370988446
3,2.0776336193084717,453.01700000000005,534,0.8483464419475656
4,4.507264614105225,996.8249999999997,1282,0.7775546021840871
5,2.807218551635742,615.588,744,0.8274032258064515
6,3.316037893295288,700.2890000000001,906,0.7729459161147904
7,2.6088407039642334,569.4440000000001,691,0.8240868306801737
8,2.370594024658203,506.4960000000001,622,0.8143022508038587
9,2.345811128616333,507.22599999999994,610,0.8315180327868852
10,2.6049368381500244,560.615,693,0.808968253968254
11,2.6095657348632812,563.3800000000001,696,0.8094540229885059
12,2.9509806632995605,650.428,791,0.8222857142857143
13,2.2675256729125977,473.656,585,0.809668376068376
14,2.9609086513519287,656.0249999999999,795,0.8251886792452828
15,2.337017774581909,498.93499999999995,601,0.8301747088186355
16,4.9196624755859375,1087.1450000000002,1382,0.7866461649782924
17,2.2850170135498047,479.975,588,0.8162840136054422
18,2.577394485473633,572.587,679,0.843279823269514
19,2.877572536468506,611.8340000000001,766,0.7987389033942559
20,2.386430263519287,505.01400000000007,621,0.8132270531400967
21,3.6952335834503174,828.5690000000001,1036,0.7997770270270271
22,2.5908501148223877,557.3270000000001,688,0.8100683139534886
23,2.134336471557617,443.11299999999994,546,0.811562271062271
24,2.8434996604919434,628.626,759,0.8282292490118577
25,4.253796815872192,939.6440000000001,1202,0.7817337770382696
26,2.719038486480713,586.754,707,0.829920792079208
27,2.245847702026367,471.253,572,0.8238688811188811
28,1.7816612720489502,364.61,434,0.8401152073732719
29,2.9899613857269287,659.8900000000001,799,0.8258948685857322
30,5.832573175430298,1288.7850000000003,1665,0.7740450450450452
31,3.864025115966797,857.972,1072,0.8003470149253731
32,2.4357638359069824,532.922,643,0.828805598755832
33,2.970165491104126,645.474,793,0.8139646910466584
34,3.1667368412017822,677.3029999999999,865,0.7830092485549132
35,2.4436347484588623,546.425,649,0.8419491525423728
36,2.936443328857422,643.346,784,0.8205943877551021
37,2.528686285018921,531.5370000000001,674,0.7886305637982198
38,5.1781837940216064,1159.1589999999999,1454,0.7972207702888582
39,2.9040560722351074,620.0690000000001,773,0.8021591203104788
40,3.424525260925293,747.5920000000002,942,0.7936220806794058
41,3.236262559890747,715.8829999999999,883,0.8107395243488108
42,2.8518238067626953,621.9269999999999,761,0.8172496714848881
43,4.058422803878784,877.7429999999996,958,0.9162244258872647
44,3.408881902694702,724.224,737,0.9826648575305292
45,3.3469529151916504,696.049,746,0.9330415549597855
46,4.544504642486572,997.9169999999999,1172,0.8514650170648463
47,3.5803630352020264,790.0140000000001,979,0.8069601634320737
48,3.501523494720459,754.2620000000002,958,0.7873298538622131
49,2.439016819000244,533.784,637,0.8379654631083202
50,2.7921934127807617,585.095,744,0.7864180107526882
