PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,3.729252576828003,909.1949999999999,1051,0.8650761179828734
2,3.6647908687591553,1044.726,1072,0.9745578358208956
3,2.338630199432373,662.2819999999999,633,1.046259083728278
4,2.7629971504211426,764.293,776,0.9849136597938144
5,2.228147029876709,624.8720000000001,603,1.0362719734660035
6,3.562974691390991,1046.895,1028,1.0183803501945525
7,2.937025547027588,807.724,832,0.9708221153846155
8,2.783236265182495,784.2749999999999,780,1.005480769230769
9,2.7821204662323,778.1260000000001,778,1.0001619537275066
10,1.9582676887512207,540.8210000000001,511,1.0583581213307243
11,3.7039780616760254,1096.0990000000002,1087,1.0083707451701933
12,2.912853479385376,807.0750000000003,819,0.9854395604395608
13,2.503810167312622,710.595,701,1.0136875891583452
14,2.845147132873535,823.5260000000001,804,1.0242860696517413
15,3.791771650314331,1087.021,1099,0.9891000909918107
16,2.0520637035369873,577.1899999999999,533,1.0829080675422138
17,2.613511800765991,726.541,724,1.0035096685082874
18,2.994668960571289,857.1250000000001,850,1.0083823529411766
19,2.7973380088806152,773.1329999999999,784,0.9861390306122448
20,2.209200143814087,631.0409999999999,598,1.0552525083612039
21,3.682060956954956,1041.655,1043,0.9987104506232023
22,2.9861035346984863,880.77,865,1.0182312138728324
23,1.9719853401184082,531.686,514,1.034408560311284
24,2.3863632678985596,656.682,655,1.0025679389312978
25,3.395890712738037,981.215,978,1.0032873210633948
26,2.3581302165985107,645.4050000000001,623,1.0359630818619585
27,2.496751070022583,689.6330000000002,685,1.0067635036496352
28,2.3253896236419678,659.2350000000001,635,1.0381653543307088
29,2.7343556880950928,769.8259999999999,761,1.011597897503285
30,4.01483416557312,1170.9959999999996,1176,0.9957448979591834
31,2.4258201122283936,698.1840000000002,669,1.0436233183856505
32,2.7232425212860107,756.1340000000001,751,1.0068362183754995
33,3.574305295944214,889.47,824,1.0794538834951457
34,2.6849963665008545,623.0989999999999,576,1.081769097222222
35,3.051527261734009,725.944,678,1.0707138643067846
36,3.367257833480835,775.996,735,1.0557768707482993
37,3.425137758255005,834.2749999999999,771,1.0820687418936445
38,5.464750528335571,1406.2330000000002,1386,1.0145981240981243
39,2.0454065799713135,527.757,543,0.97192817679558
40,3.328812599182129,997.417,972,1.0261491769547326
41,2.7002129554748535,758.1790000000001,753,1.0068778220451529
42,2.470385789871216,684.2840000000001,672,1.018279761904762
43,2.826648473739624,808.0640000000001,806,1.002560794044665
44,2.519871473312378,684.6940000000001,686,0.9980962099125366
45,2.8217663764953613,821.6759999999999,793,1.0361614123581335
46,3.598212242126465,1039.3229999999999,1034,1.0051479690522243
47,3.2076356410980225,925.993,918,1.00870697167756
48,2.966609477996826,846.1170000000002,838,1.0096861575179
49,2.29459285736084,606.8200000000002,621,0.9771658615136879
50,2.827711820602417,834.4310000000002,794,1.050920654911839
