PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,2.9270925521850586,562.127,794,0.7079685138539042
2,1.9769823551177979,475.783,510,0.9329078431372549
3,2.7075607776641846,663.6880000000001,742,0.8944582210242589
4,2.409477710723877,568.111,658,0.8633905775075987
5,2.9853856563568115,738.6560000000002,835,0.8846179640718564
6,3.3580422401428223,830.9460000000003,955,0.8701005235602097
7,3.0154812335968018,727.135,840,0.8656369047619048
8,3.1447625160217285,768.874,868,0.8857995391705069
9,2.8935489654541016,702.5230000000001,811,0.8662429099876697
10,3.079326629638672,713.255,679,1.0504491899852724
11,4.769484996795654,1150.6150000000002,1123,1.0245903829029388
12,3.569598436355591,853.6949999999999,804,1.0618097014925372
13,3.009578227996826,720.948,761,0.9473692509855453
14,2.8819475173950195,692.9650000000001,800,0.8662062500000002
15,2.8610241413116455,705.741,794,0.8888425692695214
16,3.643409252166748,897.9540000000001,1055,0.8511412322274882
17,1.9540503025054932,463.87999999999994,488,0.9505737704918031
18,2.8357620239257812,698.9810000000001,792,0.8825517676767678
19,4.809440851211548,1195.527,1412,0.8466905099150142
20,2.2570650577545166,537.981,599,0.8981318864774624
21,5.116059064865112,1293.9300000000003,1485,0.8713333333333335
22,3.1582207679748535,759.1840000000001,883,0.8597780294450738
23,2.1120386123657227,508.629,554,0.9181028880866426
24,3.011746883392334,735.8070000000001,848,0.8676969339622643
25,2.8093061447143555,701.9649999999999,763,0.9200065530799475
26,3.0516774654388428,725.1029999999998,846,0.8570957446808509
27,1.989412546157837,476.7410000000001,516,0.9239166666666668
28,1.845975637435913,438.339,474,0.9247658227848101
29,3.0802464485168457,765.703,874,0.8760903890160183
30,2.557389974594116,596.2940000000001,693,0.8604531024531026
31,2.717928886413574,678.7140000000002,755,0.8989589403973512
32,2.811126470565796,693.459,784,0.8845140306122449
33,2.8365368843078613,690.21,794,0.8692821158690177
34,2.4715378284454346,593.141,670,0.8852850746268656
35,2.5080714225769043,600.494,682,0.8804897360703813
36,2.7481765747070312,673.778,751,0.8971744340878829
37,2.8364527225494385,701.916,766,0.9163394255874674
38,4.415281057357788,1093.301,1251,0.8739416466826538
39,2.2637412548065186,534.807,592,0.9033902027027028
40,3.6428799629211426,900.6810000000002,1038,0.8677080924855493
41,2.513660192489624,604.0930000000001,678,0.8909926253687317
42,2.8436970710754395,706.056,779,0.9063620025673942
43,2.80265212059021,661.9,779,0.8496790757381257
44,2.1247410774230957,513.231,552,0.929766304347826
45,3.0362861156463623,741.0829999999999,853,0.8687960140679951
46,2.899588108062744,698.6590000000001,791,0.8832604298356512
47,2.3203070163726807,574.253,615,0.9337447154471545
48,2.7651562690734863,657.3900000000001,764,0.8604581151832462
49,2.464883804321289,599.312,661,0.9066747352496218
50,2.5663399696350098,627.325,703,0.8923541963015648
