PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,12.961451053619385,3828.2920000000004,4036,0.9485361744301289
2,2.3932113647460938,573.455,592,0.9686739864864865
3,2.472600221633911,755.12,872,0.8659633027522936
4,5.671229362487793,1739.1200000000001,1939,0.8969159360495101
5,4.061984300613403,1173.9800000000002,1362,0.8619530102790016
6,6.481744766235352,1969.2410000000002,2168,0.9083214944649447
7,2.7667641639709473,760.7660000000002,869,0.8754499424626009
8,1.0549685955047607,296.351,302,0.981294701986755
9,3.7800710201263428,1156.9579999999996,1364,0.8482096774193546
10,3.9476048946380615,1165.449,1360,0.8569477941176471
11,4.224283695220947,1240.508,1434,0.8650683403068341
12,4.567533731460571,1367.511,1539,0.8885711500974659
13,3.1713290214538574,800.4510000000001,888,0.901408783783784
14,8.929353952407837,2686.2650000000003,2734,0.9825402340892466
15,4.295971155166626,1112.1900000000003,1216,0.9146299342105265
16,1.7708826065063477,488.81100000000004,548,0.8919908759124088
17,4.02151894569397,1205.5819999999999,1429,0.8436543037088873
18,2.552877902984619,737.5239999999999,848,0.8697216981132074
19,31.58091425895691,9793.298000000006,8174,1.1981034988989487
20,3.009244441986084,620.7280000000001,550,1.1285963636363638
21,6.154054164886475,1869.1909999999998,2109,0.8862925557136082
22,4.115342378616333,1188.458,1263,0.9409802058590658
23,2.8348584175109863,800.2220000000002,959,0.8344337851929094
24,2.1533749103546143,672.808,725,0.9280110344827586
25,3.214508295059204,983.905,1147,0.8578073234524847
26,2.048288583755493,571.4340000000001,657,0.8697625570776257
27,3.007566213607788,922.529,1050,0.8785990476190476
28,4.8926849365234375,1487.272,1674,0.8884540023894862
29,3.128056049346924,906.9119999999999,1040,0.8720307692307692
30,31.47673201560974,9763.867,8173,1.1946490884620091
31,4.744160890579224,1139.016,1196,0.9523545150501673
32,3.724027395248413,1103.555,1294,0.8528245749613602
33,3.392029047012329,1020.7150000000001,1166,0.8753987993138937
34,27.221973657608032,8437.928999999995,7325,1.1519356996587022
35,32.622262716293335,9880.000999999993,8174,1.2087106679716164
36,5.2597339153289795,1279.1329999999998,1365,0.9370937728937727
37,8.750808000564575,2694.320999999999,2867,0.9397701430066268
38,11.342741966247559,3415.252999999999,3506,0.9741166571591554
39,1.8500375747680664,410.167,409,1.0028533007334963
40,11.145237922668457,3441.634,3578,0.9618876467300168
41,5.274129867553711,1533.718,1667,0.9200467906418717
42,3.985447645187378,1146.5060000000003,1352,0.8480073964497044
43,4.242844581604004,1235.8029999999999,1424,0.8678391853932583
44,32.45366930961609,9976.845000000001,8174,1.220558478101297
45,4.5389745235443115,1082.0770000000002,1141,0.9483584574934271
46,4.084910154342651,1214.384,1413,0.8594366595895259
47,16.03358507156372,4872.668000000002,4795,1.0161977059436917
48,3.7546675205230713,995.4440000000001,1061,0.9382130065975496
49,2.083242416381836,615.3460000000001,699,0.8803233190271819
50,3.601731061935425,1095.267,1274,0.8597072213500785
