PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,23.808751583099365,5433.881,2280,2.3832811403508773
2,23.92785906791687,5570.0160000000005,2280,2.442989473684211
3,90.94895720481873,21373.115000000016,8175,2.6144483180428155
4,15.351047039031982,3347.7679999999996,1335,2.50769138576779
5,21.44269585609436,4956.161,2044,2.424736301369863
6,58.19661068916321,13640.681999999992,5387,2.532148134397622
7,12.03117036819458,2714.671999999999,1097,2.474632634457611
8,52.99452233314514,12441.284000000014,4931,2.5230752382883823
9,91.68369436264038,21434.413000000015,8177,2.6213052464228954
10,25.064387559890747,5744.7440000000015,2332,2.4634408233276166
11,27.34321403503418,6332.173999999996,2592,2.4429683641975295
12,79.8203444480896,18701.653000000013,7207,2.594928957957543
13,17.830653190612793,4038.3239999999996,1645,2.45490820668693
14,13.218106269836426,3054.0089999999987,1247,2.449085004009622
15,24.57310461997986,5733.447000000001,2338,2.4522869974337045
16,91.24481248855591,21375.776999999984,8179,2.613495170558746
17,12.3723464012146,2789.5870000000004,1113,2.506367475292004
18,17.83591938018799,4133.038999999999,1704,2.425492370892018
19,91.01540231704712,21302.552000000003,8179,2.6045423645922487
20,13.954555034637451,3106.6019999999994,1262,2.4616497622820916
21,14.938458681106567,3483.541999999999,1420,2.453198591549295
22,90.9529082775116,21353.127999999997,8178,2.6110452433357785
23,12.536008834838867,2796.458000000001,1134,2.466012345679013
24,42.22908139228821,9902.711000000003,3975,2.491248050314466
25,45.88550853729248,10733.377,4281,2.5072125671572065
26,18.729929208755493,4268.904999999998,1759,2.426893121091528
27,16.87528967857361,3928.155,1603,2.4505021834061136
28,19.398456573486328,4498.082999999999,1846,2.436664680390032
29,21.023130416870117,4875.884999999999,1995,2.444052631578947
30,23.636237621307373,5506.182999999998,2249,2.44828056914184
31,65.41433048248291,15320.104999999987,6013,2.5478305338433374
32,91.38432574272156,21410.413999999975,8178,2.6180501345072114
33,16.56367564201355,3744.3709999999996,1521,2.461782380013149
34,90.96200466156006,21324.899999999994,8180,2.6069559902200483
35,49.95383358001709,11556.507999999996,4602,2.5111925249891343
36,20.923747777938843,4809.021,1966,2.4460940996948115
37,13.961987018585205,3196.0820000000012,1310,2.439757251908398
38,6.785001993179321,1516.0160000000003,611,2.4812045826513915
39,74.22002840042114,17377.42999999999,6772,2.5660705847607783
40,59.61122393608093,13891.098999999998,5461,2.5436914484526643
41,17.301406145095825,3913.591,1605,2.4383744548286606
42,21.14157795906067,4914.4379999999965,2013,2.441350223546943
43,91.15198683738708,21325.05199999999,8180,2.606974572127138
44,12.475523471832275,2776.325,1122,2.4744429590017822
45,90.82710003852844,21251.693999999978,8179,2.5983242450177255
46,21.088590145111084,4817.436999999998,1946,2.475558581706063
47,36.02975940704346,8406.782000000003,3394,2.4769540365350626
48,15.466524362564087,3566.773999999999,1455,2.4513910652920954
49,23.658644914627075,5447.659000000004,2242,2.429821141837647
50,20.891034364700317,4787.380999999997,1966,2.4350869786368246
