PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,26.97297692298889,3286.1729999999993,1494,2.19958032128514
2,29.710642337799072,3674.2690000000007,1641,2.239042656916515
3,35.40562868118286,4378.120000000002,1949,2.246341713699334
4,38.319416522979736,4748.048000000001,2107,2.253463692453726
5,32.59743356704712,4026.267999999999,1796,2.2417973273942087
6,26.444971561431885,3272.5459999999994,1457,2.2460851063829783
7,18.87043523788452,2332.4240000000004,1041,2.2405609990393858
8,26.65159511566162,3276.5490000000023,1466,2.2350266030013657
9,43.58509349822998,5401.368,2391,2.2590414052697616
10,27.03373646736145,3335.7499999999986,1489,2.240261920752182
11,25.40333342552185,3132.021000000001,1402,2.233966476462198
12,29.915709972381592,3694.5840000000017,1648,2.2418592233009718
13,32.584205627441406,4030.623999999999,1795,2.245472980501392
14,26.919188737869263,3337.7339999999995,1481,2.2537029034436187
15,37.17819118499756,4594.277999999999,2041,2.250993630573248
16,42.67589092254639,5280.524,2343,2.2537447716602648
17,23.70296883583069,2923.385,1306,2.238426493108729
18,30.306720733642578,3757.013000000001,1669,2.25105632115039
19,33.998826026916504,4218.990000000001,1873,2.2525306994127074
20,27.13540029525757,3350.1539999999995,1493,2.243907568653717
21,39.96100401878357,4939.091999999998,2194,2.2511814038286224
22,37.29767990112305,4623.687000000003,2048,2.2576596679687513
23,30.305229902267456,3758.1400000000012,1667,2.2544331133773254
24,33.56118059158325,4148.244,1845,2.248370731707317
25,52.29296326637268,6477.045000000001,2863,2.2623279776458265
26,21.338314533233643,2635.639,1176,2.2411896258503403
27,25.245508432388306,3129.8380000000006,1386,2.2581803751803755
28,33.714088439941406,4172.374999999999,1856,2.2480468749999996
29,33.59202527999878,4151.740000000002,1848,2.246612554112555
30,35.93524694442749,4440.5869999999995,1972,2.251818965517241
31,32.4297559261322,4013.8169999999986,1780,2.254953370786516
32,29.595322370529175,3655.606999999997,1625,2.2496043076923056
33,27.042881727218628,3342.5540000000005,1486,2.2493633916554514
34,30.3425772190094,3758.075999999999,1667,2.2543947210557884
35,28.25022292137146,3500.648,1552,2.255572164948454
36,37.08203125,4600.745999999999,2030,2.2663773399014775
37,35.5103325843811,4392.053999999998,1943,2.2604498198661855
38,26.06525683403015,3225.0699999999993,1432,2.252143854748603
39,47.61542725563049,5892.372999999999,2597,2.2689152868694644
40,30.75413751602173,3800.1800000000007,1686,2.2539620403321474
41,28.590012073516846,3543.2430000000004,1568,2.2597213010204085
42,23.92839217185974,2954.227000000002,1315,2.246560456273766
43,34.96169328689575,4333.293999999999,1916,2.2616356993736946
44,27.7047917842865,3415.257000000001,1520,2.2468796052631586
45,28.268749713897705,3502.534999999998,1554,2.2538835263835253
46,31.33587074279785,3886.141999999998,1720,2.259384883720929
47,30.14740514755249,3720.9469999999988,1656,2.246948671497584
48,38.086848735809326,4712.365,2083,2.2622971675468073
49,25.694368600845337,3181.023000000001,1413,2.2512547770700646
50,33.0358521938324,4074.055000000002,1813,2.247134583563156
