PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,32.944923639297485,3843.1010000000015,846,4.542672576832153
2,31.250691413879395,3685.147,855,4.3101134502923975
3,23.648978233337402,2782.1499999999983,667,4.171139430284855
4,35.924556016922,4226.746,1038,4.072009633911368
5,23.370481252670288,2739.5669999999986,684,4.0052149122806995
6,22.190319776535034,2615.873,653,4.005931087289434
7,13.672531843185425,1613.9899999999998,402,4.014900497512437
8,34.76022171974182,4072.112999999999,1033,3.942026137463697
9,32.182692766189575,3785.0489999999986,962,3.9345623700623684
10,27.869574785232544,3260.604999999999,831,3.9237123947051735
11,26.56240224838257,3109.7229999999995,792,3.9264179292929287
12,29.676868438720703,3455.3739999999993,889,3.886809898762654
13,23.685306310653687,2795.7980000000002,712,3.9266825842696633
14,25.801485300064087,3020.411000000001,779,3.8772926829268304
15,33.053847789764404,3893.172000000002,999,3.897069069069071
16,37.03821110725403,4359.824000000001,1121,3.889227475468333
17,23.82860779762268,2797.6960000000004,721,3.880299583911235
18,21.07696771621704,2481.9869999999987,637,3.896368916797486
19,26.58996891975403,3098.019000000001,806,3.8436960297766762
20,21.512107133865356,2494.7090000000007,648,3.8498595679012357
21,42.4630172252655,4991.453,1283,3.8904544037412316
22,33.26444983482361,3890.870000000003,1002,3.883103792415173
23,22.97341227531433,2706.5459999999994,697,3.8831362984218067
24,26.66271185874939,3144.8079999999977,810,3.882479012345676
25,46.27208209037781,5439.3679999999995,1398,3.8908211731044346
26,20.957398653030396,2461.5039999999995,627,3.9258437001594886
27,22.20331645011902,2591.6970000000006,667,3.8856026986506755
28,31.677547216415405,3697.792,953,3.880159496327387
29,21.007428407669067,2466.1249999999986,631,3.908280507131535
30,30.327041387557983,3534.4190000000003,915,3.8627530054644814
31,28.312565803527832,3335.746000000001,854,3.906025761124123
32,32.68176555633545,3831.0980000000036,987,3.881558257345495
33,22.0244300365448,2589.326999999999,664,3.899588855421685
34,29.56214213371277,3458.154000000001,891,3.881205387205388
35,24.12065887451172,2824.687,726,3.8907534435261706
36,37.09347605705261,4375.799000000003,1117,3.917456580125338
37,35.17311382293701,4142.693000000003,1061,3.9045174363807758
38,18.908276796340942,2213.1580000000004,569,3.88955711775044
39,29.649595975875854,3506.7309999999984,893,3.926910414333705
40,17.228739500045776,2030.2869999999996,518,3.9194729729729723
41,23.17085886001587,2724.6530000000002,699,3.8979298998569387
42,23.615716457366943,2783.3640000000005,710,3.920230985915494
43,39.812509059906006,4674.781999999998,1197,3.905415204678361
44,26.216858625411987,3080.1799999999994,791,3.8940328697850815
45,17.76087713241577,2090.693,538,3.8860464684014873
46,24.744279623031616,2902.8320000000012,751,3.8652889480692427
47,20.723293781280518,2440.8540000000007,626,3.8991277955271575
48,22.482261180877686,2651.9809999999998,682,3.8885351906158356
49,22.203457593917847,2619.7130000000006,673,3.892589895988114
50,24.9247944355011,2932.7679999999996,754,3.88961273209549
