PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,349.31761622428894,15476.972000000002,2941,5.262486229173751
2,265.6875374317169,11766.225000000011,2267,5.190218350242616
3,305.9947609901428,13546.194000000027,2594,5.222125674633781
4,691.5093686580658,30146.619000000046,5537,5.444576304858235
5,206.67539024353027,9234.354999999972,1781,5.184927007299255
6,404.86219596862793,17927.409000000058,3379,5.305536845220496
7,172.55817317962646,7724.553999999999,1495,5.1669257525083605
8,1208.18643116951,52061.5879999999,9094,5.724828238398934
9,938.4251692295074,40694.31499999985,7281,5.589110699079776
10,265.3532180786133,11808.928999999976,2264,5.215958038869248
11,295.70601630210876,13059.744000000046,2511,5.2010131421744505
12,412.52424931526184,18120.54100000016,3440,5.267599127907023
13,241.74028134346008,10705.785999999973,2071,5.169380009657157
14,227.73474621772766,10162.609999999977,1956,5.195608384458066
15,269.4415805339813,11893.627000000039,2298,5.1756427328111565
16,993.4694654941559,42688.5210000002,7657,5.575097427190832
17,227.10307908058167,10055.682000000006,1950,5.156760000000003
18,176.58176851272583,7831.502999999986,1529,5.121977109221705
19,275.8442075252533,12149.295000000031,2350,5.16991276595746
20,258.13351106643677,11335.226000000035,2204,5.143024500907457
21,485.8760859966278,21169.160000000036,4006,5.2843634548177825
22,989.2221024036407,42169.54099999975,7622,5.532608370506396
23,273.3085832595825,11838.48500000007,2321,5.100596725549362
24,443.24518060684204,19029.93000000004,3667,5.189509135533144
25,359.20467472076416,15464.51400000004,3009,5.13941974077768
26,188.6509940624237,8205.55300000001,1624,5.052680418719219
27,135.09916758537292,5870.562999999985,1172,5.009012798634799
28,1224.0290863513947,51664.32199999986,9175,5.630988773841946
29,262.3196349143982,11501.022999999994,2232,5.152788082437273
30,333.6894054412842,14504.912999999999,2807,5.1674075525472025
31,423.36228108406067,18256.00700000009,3512,5.198179669703897
32,674.4277844429016,29022.05200000015,5398,5.376445350129705
33,167.6339614391327,7337.926000000001,1449,5.064131124913734
34,344.3607249259949,14912.277999999962,2891,5.158172950536134
35,266.4055595397949,11571.58999999999,2265,5.108869757174388
36,395.3071527481079,17066.03900000001,3293,5.182520194351659
37,245.63514161109924,10685.375999999922,2093,5.105291925465801
38,186.12466287612915,8136.483999999991,1602,5.078953807740319
39,1465.7108979225159,61357.050000000556,10782,5.690692821369
40,225.2260603904724,9788.543000000003,1925,5.0849574025974045
41,810.9692234992981,34693.243000000046,6370,5.446348979591844
42,197.18557047843933,8567.119000000033,1691,5.066303370786536
43,299.3201401233673,12993.845999999976,2528,5.139970727848092
44,330.51019835472107,14369.55499999999,2778,5.172625989920802
45,451.2738690376282,19235.88299999995,3724,5.165382116004284
46,290.1107897758484,12791.30100000004,2462,5.195491876523168
47,292.1996338367462,12967.216999999937,2482,5.224503223207066
48,407.08181405067444,17952.868000000002,3397,5.284918457462467
49,248.17298674583435,11009.260999999966,2124,5.183267890772112
50,359.02953028678894,15845.780999999979,3017,5.252164733178647
